age,gender,APOE_rs429358,FOXO3_rs2802292,TP53_rs1042522,SIRT1_rs7069102,TERT_rs2736100,exercise_hours_week,diet_quality_score,sleep_hours,stress_level,smoking_pack_years,alcohol_drinks_week,biological_age
63,1,0,1,1,2,1,4.333130699423057,8.603082066780114,6.076364146364158,4.946044767990467,5.274173670241358,15.64708472525086,33.95338805044043
76,1,0,2,2,2,1,1.4878035190661865,4.3106753419958626,6.881211775083498,7.500459040524278,0.3076386411684811,3.365415149899107,55.29975882778454
53,1,0,2,2,1,0,5.10653474384671,5.318741462950306,5.593592205499647,4.876647121926465,7.411782044720234,2.873920606763782,33.672776507699
39,0,0,2,1,2,1,4.2769062775894735,6.281591060414132,5.387916063031195,6.4129748263375115,4.659015514784405,9.50568472242108,38.2468154255383
67,0,0,0,1,2,2,7.311137750748008,7.522789315129673,7.392798317501769,4.926130777933524,2.5297330904854434,2.467113989337917,28.29240676475151
32,1,0,1,1,2,1,4.523506884681519,3.781432711475702,7.082236118939168,5.120894604670152,20.426614449998777,0.9354730193792198,32.781195282614206
45,0,0,1,1,1,2,5.31415715037239,7.6232983128559955,6.399792524398716,10.0,0.051258613325519994,9.397990446205025,65.1954894758282
63,0,0,1,1,2,2,6.472908291728612,4.8198225059911675,5.839850329427506,3.6115860753617213,3.9356602006068213,9.484078423837868,47.63932872383107
43,0,0,1,2,2,2,1.9606158075519395,6.750699601060605,5.558923701620429,6.101560183683576,0.87000182312373,1.538872937592001,42.57477241031427
47,0,2,1,1,2,2,5.109982659642531,5.6139849928308605,7.382012498280722,6.058594660138789,1.997410969209958,4.10910385401958,42.40280344787228
35,0,0,1,2,2,0,2.783000194084707,6.549911415358621,6.124743487615028,7.299935731942448,0.7147482187021464,2.6041650538826833,35.26444349183634
35,1,0,2,2,2,2,4.211142297507905,6.424186544119564,8.9143082855855,4.854970038848004,5.516333190966418,8.317194088204054,29.034539325411984
48,1,0,2,2,2,0,5.988417497441904,8.554022526170685,7.171422379101258,9.002206163063475,2.5672419126470833,0.798301069554314,29.031759256657512
77,1,2,1,2,2,0,0.8144754632540352,5.528718336725358,7.593410268692554,4.277974894301292,21.451614998114657,4.216740676345926,70.17734706343462
60,1,0,2,0,1,0,1.9042035859084436,5.395267177632305,8.653018879989505,4.103013120917966,5.3043737200146275,4.921406308288523,31.97994357109472
64,0,1,0,2,1,1,1.7808415858860824,8.136769079828344,5.968756773939772,6.686732134593949,12.464783858876912,2.2163806392360303,40.68244290213921
48,0,1,2,1,0,1,2.9314761957167383,8.800590666313,7.501403714216711,7.460571391757394,1.377629217439569,12.265047457092313,28.414767938993116
27,1,1,0,2,2,1,2.0477506925551565,5.207458602880309,7.565272021431033,2.505237465426722,1.9193796760749922,2.2864600213680433,18.975201812748164
46,0,0,0,2,2,0,6.117724030376606,7.384687222653559,6.342581046671608,3.4593209732973733,2.2524345432635067,1.4845297951533858,18.0
77,0,1,2,2,2,1,1.3880099936794223,4.292240664360456,5.121302320182709,5.341234350882489,9.116715542144027,7.773036333028429,68.73076793472653
26,1,0,1,2,2,1,0.9539748240205989,7.396340147363443,4.375577393089342,6.189640533896223,1.1892290718166445,2.7219335873201143,38.38067829398843
48,0,0,2,1,2,1,4.872934464889636,7.840209358022219,5.87556135283458,7.697136192793908,14.661044279762166,0.46678941528524154,44.75639818931555
68,1,1,1,0,2,1,9.37400012692483,5.449589669182892,8.303084534101334,5.230680709077699,0.22278589683016492,3.842707601928712,22.351662345986856
54,1,0,1,2,1,0,10.302889103207438,8.221677929767365,6.024874832870164,7.309164478311235,11.029924835444941,2.9175001507723772,18.0
62,0,1,1,0,2,0,3.3773921717891398,5.474587236510169,8.116972092571059,1.3926976352485783,3.002054992152676,6.641137372076072,26.328401213923776
26,0,0,1,2,1,1,2.756545765280722,6.048069040370851,6.049673824154802,2.5978756313907523,3.7316643122823567,0.19124561681097346,20.024751331228273
45,1,1,1,0,1,1,1.6285038761826034,6.782256331162694,7.018693956316486,4.984615380084115,29.756303300227366,5.225388642631483,48.0939674296854
57,1,0,2,2,1,1,1.1467690583787782,4.079827892000152,7.600292232422892,7.0887679254568035,10.202949880512797,7.280226508133865,55.165824095978465
36,0,0,2,1,1,1,1.1175420665694125,3.2822238359223195,8.201793899108832,4.355721288051811,11.71816008834923,0.9202580277964868,36.80397985038823
46,1,0,2,2,1,1,1.004876953952367,6.559571831745271,6.4120897619115285,4.417775444656932,4.403833812402561,6.345957464094008,28.11045612044234
68,1,2,2,2,2,1,3.3491499010892185,4.516133481771736,6.195869128215886,5.762691876326012,15.656818783405239,4.390473650284527,56.81300412784448
